,total_power
1037,79699.4826
1038,82068.397
1039,81121.4336
1040,81443.72290000002
1041,84669.86630000001
1042,85172.37389999999
1043,84555.11690000001
1044,82672.30889999999
1045,80920.11039999999
1046,82276.6195
1047,82182.85270000002
1048,81758.83110000001
1049,81052.58380000001
1050,82600.93300000002
1051,83107.36309999999
1052,83768.19789999998
1053,83297.09290000002
1054,79438.0999
1055,77579.8231
1056,76434.0558
1057,78379.03029999998
1058,78143.4376
1059,79611.4139
1060,79861.14010000002
1061,82636.2625
1062,81238.96000000002
1063,81200.45009999999
1064,81366.2833
1065,81147.41030000002
1066,87496.56330000002
1067,93104.3528
1068,93493.7062
1069,90668.1266
1070,84095.36119999998
1071,81892.67270000001
1072,81037.04710000003
1073,83396.35299999997
1074,84651.11330000001
1075,81493.11290000002
1076,80066.98930000002
1077,76500.1933
1078,75596.56980000001
1079,72617.4303
1080,70863.98610000002
1081,71182.82999999999
1082,71480.88270000002
1083,72765.45319999999
1084,71972.23369999998
1085,71970.3329
1086,71057.54380000001
1087,71020.42680000002
1088,70925.92749999998
1089,71169.01740000001
1090,72896.00630000002
1091,74834.41589999999
1092,77634.2724
1093,74654.43609999999
1094,70987.0273
1095,73192.92060000001
1096,70818.6695
1097,75876.20259999999
1098,80179.1365
1099,77013.28969999998
1100,73951.5036
1101,71988.6529
1102,71431.4933
1103,71775.0132
1104,70564.27409999998
1105,72401.3728
1106,73318.06700000001
1107,73680.6909
1108,72651.7411
1109,72803.21749999998
1110,72388.69039999999
1111,71301.7333
1112,70233.4766
1113,70250.18669999999
1114,70407.65989999998
1115,69481.5978
1116,69625.21000000002
1117,70853.71650000001
1118,73056.1274
1119,71293.2929
1120,68694.24070000001
1121,68227.7196
1122,69520.94279999998
1123,68908.78350000002
1124,70074.11280000002
1125,71542.19930000001
1126,72167.68680000001
1127,71682.86989999999
1128,68495.68699999999
1129,64453.5801
1130,64510.5501
1131,65826.10339999999
1132,70570.02730000002
1133,69683.6536
1134,71588.11030000001
1135,66873.5369
1136,65105.276699999995
1137,65431.38040000002
1138,66458.4399
1139,66280.52280000002
1140,64222.74349999999
1141,64617.4862
1142,65928.7499
1143,65043.27680000001
1144,65143.622299999995
1145,66952.8928
1146,67365.8232
1147,68325.63630000001
1148,71406.54269999999
1149,71287.0739
1150,72857.35
1151,74672.63339999999
1152,73755.88669999999
1153,72654.3364
1154,72588.107
1155,71498.80369999999
1156,72093.08630000001
1157,72491.54980000001
1158,69546.1803
1159,69328.2231
1160,69702.2496
1161,69188.31959999999
1162,67782.0701
1163,67912.66679999999
1164,69539.55729999999
1165,67383.8776
1166,70971.99360000002
1167,77100.63180000002
1168,77928.2268
1169,74140.69690000001
1170,71408.72630000001
1171,76878.9796
1172,76254.60979999999
1173,74388.66960000001
1174,71842.8931
1175,74555.4472
1176,72670.6629
1177,78372.20939999999
1178,75613.69289999998
1179,75049.31090000001
1180,74800.36970000001
1181,73709.94680000002
1182,73948.8943
1183,73564.98389999998
1184,72059.6234
1185,71197.17749999999
1186,70528.25679999999
1187,69707.90309999998
1188,70554.2334
1189,73978.66990000001
1190,74675.7665
1191,73882.32740000001
1192,77628.40349999999
1193,76151.35050000002
1194,79364.22039999999
1195,79073.2963
1196,76672.0966
1197,77289.5901
1198,77302.5236
1199,78634.79719999999
1200,79239.7524
1201,80688.11299999998
1202,80807.01479999998
1203,82722.98399999998
1204,81617.98660000002
1205,79838.8536
1206,75511.4806
1207,72137.9169
1208,70375.3043
1209,70003.89650000002
1210,73390.60339999999
1211,76046.79909999997
1212,75087.88290000003
1213,73789.7263
1214,73615.5494
1215,77149.03279999999
1216,77641.01659999999
1217,75993.61090000001
1218,76429.96949999999
1219,76430.5459
1220,73378.1103
1221,75754.027
1222,77145.11360000001
1223,78303.18370000001
1224,79494.43990000001
1225,81222.09090000001
1226,81438.157
1227,82226.0398
1228,82367.7109
1229,80713.24429999999
1230,80280.82339999996
1231,75749.17949999997
1232,74350.44709999999
1233,72707.0372
1234,72696.136
1235,74259.08069999998
1236,75793.0197
1237,77874.02739999999
1238,79809.4673
1239,79076.04990000001
1240,79970.41380000002
1241,81419.83739999999
1242,80630.0257
1243,80577.73039999999
1244,79855.78929999997
1245,79669.0368
1246,78729.7734
1247,79501.5232
1248,80685.85089999996
1249,82294.66240000002
1250,82504.86280000002
1251,80105.53320000002
1252,78908.39269999998
1253,78847.60650000001
1254,77968.69600000003
1255,74892.20620000002
1256,74082.2296
1257,73628.1766
1258,75247.10990000001
