HourOfYear,electricity_demand
877,441.14363970682996
878,169.01869899652
879,250.6528776832601
880,441.09811644872
881,262.10545772732
882,144.23440479342
883,467.0516594023935
884,452.4810858187698
885,88.2891213125998
886,351.3747822618898
887,434.08170555169
888,269.17166740294
889,417.05471499169
890,417.05471499169
891,417.05471499169
892,417.05471499169
893,417.05471499169
894,417.05471499169
895,447.7989184423935
896,450.0246688423935
897,450.0246688423935
898,450.0246688423935
899,450.0246688423935
900,450.0246688423935
901,450.0246688423935
902,450.0246688423935
903,450.0246688423935
904,450.0246688423935
905,450.0246688423935
906,450.0246688423935
907,450.0246688423935
908,435.4540952587698
909,433.22834485876984
910,433.22834485876984
911,417.05471499169
912,417.05471499169
913,429.40762971169
914,432.74625531169
915,432.74625531169
916,432.74625531169
917,432.74625531169
918,432.74625531169
919,463.4904587623935
920,547.0603180871616
921,571.1871424248817
922,595.4703892871617
923,618.8407684871618
924,595.4703892871617
925,445.0148219763217
926,572.1000100871618
927,618.8407684871618
928,595.4703892871617
929,592.1317636871618
930,547.0603180871616
931,465.7162091623935
932,451.1456355787698
933,448.91988517876985
934,448.91988517876985
935,432.74625531169
936,432.74625531169
937,417.05471499169
938,417.05471499169
939,417.05471499169
940,417.05471499169
941,417.05471499169
942,417.05471499169
943,447.7989184423935
944,450.0246688423935
945,450.0246688423935
946,450.0246688423935
947,450.0246688423935
948,450.0246688423935
949,450.0246688423935
950,450.0246688423935
951,450.0246688423935
952,450.0246688423935
953,450.0246688423935
954,450.0246688423935
955,450.0246688423935
956,435.4540952587698
957,433.22834485876984
958,433.22834485876984
959,417.05471499169
960,417.05471499169
961,417.05471499169
962,417.05471499169
963,417.05471499169
964,417.05471499169
965,417.05471499169
966,417.05471499169
967,447.7989184423935
968,450.0246688423935
969,450.0246688423935
970,450.0246688423935
971,450.0246688423935
972,450.0246688423935
973,450.0246688423935
974,450.0246688423935
975,450.0246688423935
976,450.0246688423935
977,450.0246688423935
978,450.0246688423935
979,450.0246688423935
980,435.4540952587698
981,433.22834485876984
982,433.22834485876984
983,417.05471499169
984,417.05471499169
985,429.40762971169
986,432.74625531169
987,432.74625531169
988,432.74625531169
989,432.74625531169
990,432.74625531169
991,463.4904587623935
992,547.0603180871616
993,571.1871424248817
994,595.4703892871617
995,618.8407684871618
996,595.4703892871617
997,445.0148219763217
998,572.1000100871618
999,618.8407684871618
1000,595.4703892871617
1001,592.1317636871618
1002,547.0603180871616
1003,465.7162091623935
1004,451.1456355787698
1005,448.91988517876985
1006,448.91988517876985
1007,432.74625531169
1008,432.74625531169
1009,429.40762971169
1010,432.74625531169
1011,432.74625531169
1012,432.74625531169
1013,432.74625531169
1014,432.74625531169
1015,463.4904587623935
1016,547.0603180871616
1017,571.1871424248817
1018,595.4703892871617
1019,618.8407684871618
1020,595.4703892871617
1021,445.0148219763217
1022,572.1000100871618
1023,618.8407684871618
1024,595.4703892871617
1025,592.1317636871618
1026,547.0603180871616
1027,465.7162091623935
1028,451.1456355787698
1029,448.91988517876985
1030,448.91988517876985
1031,432.74625531169
1032,432.74625531169
1033,429.40762971169
1034,432.74625531169
1035,432.74625531169
1036,432.74625531169
1037,432.74625531169
1038,432.74625531169
1039,463.4904587623935
1040,547.0603180871616
1041,571.1871424248817
1042,595.4703892871617
1043,618.8407684871618
1044,595.4703892871617
1045,445.0148219763217
1046,572.1000100871618
1047,618.8407684871618
1048,595.4703892871617
1049,592.1317636871618
1050,547.0603180871616
1051,465.7162091623935
1052,451.1456355787698
1053,448.91988517876985
1054,448.91988517876985
1055,432.74625531169
1056,432.74625531169
1057,429.40762971169
1058,432.74625531169
1059,432.74625531169
1060,432.74625531169
1061,432.74625531169
1062,432.74625531169
1063,463.4904587623935
1064,547.0603180871616
1065,571.1871424248817
1066,595.4703892871617
1067,618.8407684871618
1068,595.4703892871617
1069,445.0148219763217
1070,572.1000100871618
1071,618.8407684871618
1072,595.4703892871617
1073,592.1317636871618
1074,547.0603180871616
1075,465.7162091623935
1076,451.1456355787698
1077,448.91988517876985
1078,448.91988517876985
1079,432.74625531169
1080,432.74625531169
1081,429.40762971169
1082,432.74625531169
1083,432.74625531169
1084,432.74625531169
1085,432.74625531169
1086,432.74625531169
1087,463.4904587623935
1088,547.0603180871616
1089,571.1871424248817
1090,595.4703892871617
1091,618.8407684871618
1092,595.4703892871617
1093,445.0148219763217
1094,572.1000100871618
1095,618.8407684871618
1096,595.4703892871617
1097,592.1317636871618
1098,547.0603180871616
1099,465.7162091623935
1100,451.1456355787698
1101,448.91988517876985
1102,448.91988517876985
1103,432.74625531169
1104,432.74625531169
1105,429.40762971169
1106,432.74625531169
1107,432.74625531169
1108,432.74625531169
1109,432.74625531169
1110,432.74625531169
1111,463.4904587623935
1112,547.0603180871616
1113,571.1871424248817
1114,595.4703892871617
1115,618.8407684871618
1116,595.4703892871617
1117,445.0148219763217
1118,572.1000100871618
1119,618.8407684871618
1120,595.4703892871617
1121,592.1317636871618
1122,547.0603180871616
1123,465.7162091623935
1124,451.1456355787698
1125,448.91988517876985
1126,448.91988517876985
1127,432.74625531169
1128,432.74625531169
1129,417.05471499169
1130,417.05471499169
1131,417.05471499169
1132,417.05471499169
1133,417.05471499169
1134,417.05471499169
1135,447.7989184423935
1136,450.0246688423935
1137,450.0246688423935
1138,450.0246688423935
1139,450.0246688423935
1140,450.0246688423935
1141,450.0246688423935
1142,450.0246688423935
1143,450.0246688423935
1144,450.0246688423935
1145,450.0246688423935
1146,450.0246688423935
1147,450.0246688423935
1148,435.4540952587698
1149,433.22834485876984
1150,433.22834485876984
1151,417.05471499169
1152,417.05471499169
1153,417.05471499169
1154,417.05471499169
1155,417.05471499169
1156,417.05471499169
1157,417.05471499169
1158,417.05471499169
1159,447.7989184423935
1160,450.0246688423935
1161,450.0246688423935
1162,450.0246688423935
1163,450.0246688423935
1164,450.0246688423935
1165,450.0246688423935
1166,450.0246688423935
1167,450.0246688423935
