Hour,gwp
1519,173.794
1520,233.856
1521,225.59
1522,200.792
1523,185.8
1524,163.121
1525,157.95600000000002
1526,151.89700000000002
1527,153.846
1528,163.884
1529,168.878
1530,189.421
1531,232.451
1532,230.528
1533,202.241
1534,160.63299999999998
1535,157.424
1536,149.85
1537,123.726
1538,126.791
1539,126.522
1540,118.483
1541,120.788
1542,140.313
1543,135.717
1544,165.423
1545,177.389
1546,174.498
1547,151.092
1548,156.55200000000002
1549,162.713
1550,169.826
1551,156.149
1552,131.416
1553,144.52200000000002
1554,192.19
1555,219.557
1556,213.556
1557,202.01
1558,143.56799999999998
1559,150.964
1560,155.05200000000002
1561,144.565
1562,148.58100000000002
1563,129.013
1564,125.147
1565,114.158
1566,125.226
1567,165.602
1568,191.341
1569,169.639
1570,149.089
1571,129.601
1572,135.121
1573,127.429
1574,120.287
1575,112.932
1576,111.146
1577,113.047
1578,132.62
1579,171.442
1580,193.911
1581,171.16099999999997
1582,142.424
1583,135.872
1584,120.302
1585,131.55100000000002
1586,130.243
1587,127.336
1588,127.597
1589,125.259
1590,138.159
1591,166.078
1592,222.543
1593,245.773
1594,235.713
1595,224.069
1596,209.012
1597,175.40099999999998
1598,143.951
1599,134.79399999999998
1600,133.02100000000002
1601,147.138
1602,156.398
1603,206.491
1604,220.241
1605,181.519
1606,161.77100000000002
1607,182.465
1608,162.934
1609,135.607
1610,121.648
1611,117.64
1612,110.353
1613,101.239
1614,107.982
1615,120.372
1616,121.761
1617,123.268
1618,116.363
1619,119.86
1620,121.903
1621,108.087
1622,109.138
1623,104.252
1624,101.809
1625,113.303
1626,119.113
1627,138.643
1628,145.864
1629,132.148
1630,121.269
1631,132.836
1632,115.203
1633,125.128
1634,123.682
1635,121.327
1636,123.262
1637,121.048
1638,118.749
1639,113.884
1640,103.391
1641,105.284
1642,94.006
1643,90.838
1644,82.37
1645,85.006
1646,70.439
1647,76.602
1648,90.359
1649,87.67299999999999
1650,67.816
1651,87.49700000000001
1652,118.916
1653,109.189
1654,100.994
1655,104.582
1656,110.652
1657,111.857
1658,105.033
1659,108.527
1660,104.054
1661,110.31
1662,118.769
1663,143.702
1664,227.22
1665,247.854
1666,229.973
1667,217.889
1668,183.923
1669,161.631
1670,155.36700000000002
1671,147.002
1672,149.519
1673,152.339
1674,186.889
1675,237.463
1676,261.48900000000003
1677,256.54
1678,225.741
1679,227.664
1680,196.731
1681,177.352
1682,186.959
1683,171.768
1684,148.931
1685,130.83
1686,157.94899999999998
1687,196.362
1688,257.247
1689,264.541
1690,255.257
1691,186.664
1692,157.738
1693,143.578
1694,135.94
1695,129.22799999999998
1696,131.609
1697,135.44
1698,150.588
1699,191.176
1700,207.253
1701,157.817
1702,136.284
1703,131.537
1704,120.198
1705,112.805
1706,115.404
1707,120.472
1708,126.566
1709,126.689
1710,132.6
1711,155.64600000000002
1712,181.832
1713,163.083
1714,150.778
1715,135.125
1716,132.38
1717,138.56
1718,149.44899999999998
1719,129.97799999999998
1720,124.146
1721,134.588
1722,148.917
1723,173.265
1724,189.728
1725,179.678
1726,171.59
1727,165.218
1728,152.172
1729,138.014
1730,134.349
1731,126.453
1732,115.507
1733,114.205
1734,130.09
1735,159.114
1736,212.912
1737,200.937
1738,157.737
1739,146.101
1740,138.525
1741,142.377
1742,137.082
1743,134.055
1744,140.843
1745,140.24200000000002
1746,141.035
1747,149.8
1748,175.892
1749,154.363
1750,136.214
1751,142.746
1752,132.22799999999998
1753,118.6
1754,120.985
1755,115.045
1756,105.278
1757,98.735
1758,104.483
1759,132.20600000000002
1760,193.051
1761,199.439
1762,183.61900000000003
1763,187.841
1764,162.512
1765,142.577
1766,114.783
1767,107.299
1768,109.749
1769,110.496
1770,130.04
1771,164.675
1772,162.889
1773,129.96
1774,120.803
1775,119.749
1776,122.146
1777,110.377
1778,109.483
1779,109.53
1780,99.34
1781,97.385
1782,101.277
1783,103.247
1784,100.499
1785,113.794
1786,110.533
1787,111.134
1788,106.229
1789,117.925
1790,99.91
1791,93.076
1792,90.675
1793,83.461
1794,91.043
1795,129.273
1796,162.558
1797,132.859
1798,96.724
1799,114.067
1800,108.47
1801,120.703
1802,119.262
1803,121.065
1804,112.415
1805,112.481
1806,112.777
1807,113.957
1808,111.958
1809,105.275
1810,103.836
1811,99.738
1812,97.774
1813,96.09
1814,96.551
1815,95.235
1816,91.047
1817,93.78
1818,104.169
1819,197.532
1820,235.073
1821,226.268
1822,154.45
1823,162.406
1824,139.109
1825,129.096
1826,130.869
1827,131.91299999999998
1828,129.923
1829,144.476
1830,174.25099999999998
1831,224.925
1832,284.47700000000003
1833,274.428
1834,230.404
1835,220.249
1836,215.962
1837,211.639
1838,225.05900000000003
1839,227.356
1840,226.126
1841,226.533
1842,248.491
1843,265.851
1844,266.845
1845,258.694
1846,264.835
1847,271.476
1848,267.288
1849,242.671
1850,241.672
1851,242.318
1852,245.416
1853,230.232
1854,262.527
1855,279.123
1856,287.89
1857,287.629
1858,286.015
1859,275.35900000000004
1860,283.166
1861,269.742
1862,268.028
1863,241.711
1864,242.667
1865,227.895
1866,207.982
1867,242.513
1868,249.491
1869,249.488
1870,232.834
1871,278.94
1872,297.996
1873,257.473
1874,248.239
1875,240.342
1876,234.236
1877,220.593
1878,259.535
1879,258.993
1880,272.145
1881,256.283
1882,245.648
1883,254.669
1884,246.734
1885,226.655
1886,214.55
1887,198.129
1888,200.424
1889,206.106
1890,205.882
1891,240.007
1892,251.055
1893,248.908
1894,237.14
1895,239.285
1896,272.719
1897,254.799
1898,257.125
1899,251.023
1900,232.606
1901,221.275
1902,253.133
1903,260.05
1904,274.323
1905,273.97
1906,247.01
1907,243.402
1908,228.966
1909,219.661
1910,201.354
1911,185.746
1912,200.199
1913,199.834
1914,215.817
1915,250.474
1916,246.728
1917,253.395
1918,246.553
1919,249.938
1920,266.573
1921,265.978
1922,259.449
1923,257.373
1924,242.804
1925,235.38
1926,261.47
1927,271.378
1928,258.375
1929,248.937
1930,243.23
1931,238.969
1932,219.769
1933,210.678
1934,201.963
1935,187.743
1936,173.86900000000003
1937,173.356
1938,186.679
1939,242.672
1940,253.26
1941,247.425
1942,247.387
1943,259.939
1944,257.945
1945,260.263
1946,259.633
1947,260.094
1948,253.715
1949,246.678
1950,265.319
1951,263.119
1952,262.066
1953,255.752
1954,243.114
1955,221.156
1956,216.98
1957,218.30900000000003
1958,188.32
1959,175.241
1960,177.25799999999998
1961,183.793
1962,188.983
1963,179.505
1964,248.561
1965,203.654
1966,188.174
1967,217.092
1968,240.223
1969,238.221
1970,234.817
1971,221.664
1972,201.322
1973,194.457
1974,196.183
1975,193.221
1976,172.75799999999998
1977,149.976
1978,128.454
1979,103.02
1980,102.899
1981,122.131
1982,87.98299999999999
1983,62.605
1984,76.509
1985,71.834
1986,70.973
1987,117.799
1988,223.356
1989,187.61900000000003
1990,175.71099999999998
1991,191.96400000000003
1992,230.154
1993,203.033
1994,189.276
1995,178.593
1996,158.262
1997,152.9
1998,180.608
1999,199.769
2000,214.846
2001,205.234
2002,152.841
2003,136.516
2004,131.085
2005,133.995
2006,148.85399999999998
2007,144.77100000000002
2008,139.63299999999998
2009,143.197
2010,165.385
2011,196.163
2012,256.531
2013,238.321
2014,178.578
2015,194.253
2016,204.621
2017,222.036
2018,215.368
2019,193.24
2020,184.517
2021,185.357
2022,205.4
2023,225.924
2024,258.483
2025,238.239
2026,228.007
2027,200.774
2028,199.798
2029,191.061
2030,176.282
2031,167.942
2032,162.399
2033,162.433
2034,160.1
2035,189.865
2036,259.563
2037,266.048
2038,214.481
2039,243.64
2040,263.44
2041,240.778
2042,248.458
2043,247.393
2044,221.641
2045,207.545
2046,237.84
2047,262.881
2048,270.738
2049,259.495
2050,227.915
