HourOfYear,PeriodOfYear,Domestic_electricity
1027,4,46.54703129070347
1028,4,31.97645770707982
1029,4,29.75070730707982
1030,4,29.75070730707982
1031,4,13.57707744
1032,4,13.57707744
1033,4,10.23845184
1034,4,13.57707744
1035,4,13.57707744
1036,4,13.57707744
1037,4,13.57707744
1038,4,13.57707744
1039,4,44.32128089070348
1040,4,109.1583646953549
1041,4,129.1901182953549
1042,4,147.5525590953549
1043,4,165.914999895355
1044,4,147.5525590953549
1045,4,98.30783149535496
1046,4,129.1901182953549
1047,4,165.914999895355
1048,4,147.5525590953549
1049,4,144.2139334953549
1050,4,109.1583646953549
1051,4,46.54703129070347
1052,4,31.97645770707982
1053,4,29.75070730707982
1054,4,29.75070730707982
1055,4,13.57707744
1056,4,13.57707744
1057,4,10.23845184
1058,4,13.57707744
1059,4,13.57707744
1060,4,13.57707744
1061,4,13.57707744
1062,4,13.57707744
1063,4,44.32128089070348
1064,4,109.1583646953549
1065,4,129.1901182953549
1066,4,147.5525590953549
1067,4,165.914999895355
1068,4,147.5525590953549
1069,4,98.30783149535496
1070,4,129.1901182953549
1071,4,165.914999895355
1072,4,147.5525590953549
1073,4,144.2139334953549
1074,4,109.1583646953549
1075,4,46.54703129070347
1076,4,31.97645770707982
1077,4,29.75070730707982
1078,4,29.75070730707982
1079,4,13.57707744
1080,4,13.57707744
1081,4,10.23845184
1082,4,13.57707744
1083,4,13.57707744
1084,4,13.57707744
1085,4,13.57707744
1086,4,13.57707744
1087,4,44.32128089070348
1088,4,109.1583646953549
1089,4,129.1901182953549
1090,4,147.5525590953549
1091,4,165.914999895355
1092,4,147.5525590953549
1093,4,98.30783149535496
1094,4,129.1901182953549
1095,4,165.914999895355
1096,4,147.5525590953549
1097,4,144.2139334953549
1098,4,109.1583646953549
1099,4,46.54703129070347
1100,4,31.97645770707982
1101,4,29.75070730707982
1102,4,29.75070730707982
1103,4,13.57707744
1104,4,13.57707744
1105,4,10.23845184
1106,4,13.57707744
1107,4,13.57707744
1108,4,13.57707744
1109,4,13.57707744
1110,4,13.57707744
1111,4,44.32128089070348
1112,4,109.1583646953549
1113,4,129.1901182953549
1114,4,147.5525590953549
1115,4,165.914999895355
1116,4,147.5525590953549
1117,4,98.30783149535496
1118,4,129.1901182953549
1119,4,165.914999895355
1120,4,147.5525590953549
1121,4,144.2139334953549
1122,4,109.1583646953549
1123,4,46.54703129070347
1124,4,31.97645770707982
1125,4,29.75070730707982
1126,4,29.75070730707982
1127,4,13.57707744
1128,4,13.57707744
