,Load_Profile
639,441.7268824305557
640,442.44959500000004
641,436.25639798611115
642,442.95410395833323
643,453.6128459722224
644,458.0750557638888
645,437.57358604166666
646,443.49451076388897
647,452.8034427777778
648,449.01783597222226
649,445.50092222222224
650,1240.0
651,1240.0
652,1240.0
653,1240.0
654,1125.1506577083387
655,456.7267692361109
656,448.93849097222216
657,446.94214541666673
658,442.6643199999999
659,442.88421916666664
660,441.851261736111
661,441.003670625
662,433.8478029861109
663,432.36247055555543
664,429.36655222222237
665,1240.0
666,447.1381259722223
667,451.85896437499986
668,446.44502826388907
669,450.6136726388889
670,455.8954327083333
671,461.1506384722222
672,453.96633284722196
673,464.7396877083334
674,467.5125364583333
675,466.1459060416667
676,458.57829451388875
677,450.9105061805557
678,445.9074219444445
679,432.58102124999994
680,423.6584221527777
681,424.43461326388893
682,437.16932875
683,1240.0
684,1240.0
685,452.7320952777777
686,449.37524187500014
687,451.90425048611104
688,1240.0
689,1240.0
690,1240.0
691,1140.8215876388917
692,461.95535847222214
693,467.96950861111105
694,471.0366271527778
695,473.4761524305555
696,473.62343583333325
697,467.73538048611107
698,476.3326035416665
699,458.06483576388877
700,451.4479569444444
701,450.73190993055573
702,446.6143203472222
703,439.5413278472224
704,448.16955506944447
705,450.6532916666667
706,445.52169277777773
707,1240.0
708,1240.0
709,1240.0
710,1154.8892984027798
711,449.47126291666666
712,464.3819424999999
713,450.1249554861111
714,456.32786256944445
715,1240.0
716,1240.0
717,429.6210129166667
718,417.5540663194444
719,387.23651506944447
720,373.0860320833332
721,369.0502540277777
722,368.2028505555556
723,362.09395687499995
724,362.0345025694445
725,354.54637166666674
726,352.2350752083332
727,346.15844472222216
728,342.19378666666665
729,342.85875215277775
730,352.1017320138889
731,375.5822262499999
732,404.04491166666656
733,400.64277118055554
734,389.11020506944436
735,1240.0
736,375.17256680555556
737,1240.0
738,372.8483922916666
739,1240.0
740,707.5431466666666
741,1240.0
742,364.5448518055556
743,366.05948847222226
744,359.28880409722217
745,379.2034161805554
746,383.4125234722222
747,1240.0
748,1240.0
749,1240.0
750,378.2569777777777
751,377.13811090277784
752,375.387206736111
753,375.37414298611105
754,369.1173140277778
755,372.87368416666664
756,391.5662697916666
757,398.35007138888886
758,400.1821570833334
759,412.107128611111
760,412.1265045138889
761,408.63401006944434
762,407.5126499305555
763,986.7877343055562
764,1240.0
765,395.47180944444455
766,385.52877173611114
767,373.8054794444443
768,361.4620940972223
769,360.5227145138888
770,361.36521361111113
771,1240.0
772,1240.0
773,1240.0
774,342.48441451388874
775,341.9681820138891
776,339.92994972222215
777,339.63758791666663
778,337.8581606944444
779,334.9609851388889
780,334.5741554166667
781,326.2821678472222
782,329.18744833333324
783,330.04366402777777
784,1190.5924900694465
785,338.6682818750001
786,341.68049756944436
787,344.8431573611111
788,343.79950451388885
789,345.7374710416666
790,350.50535868055556
791,353.4314947916666
792,351.51198249999993
793,351.81779305555574
794,343.04901263888877
795,1240.0
796,1240.0
797,1240.0
798,326.6265138888889
