Layer,Unit,Period,Time,Units_demand,Units_supply,Units_curtailment,BAT_E_stored
Electricity,Air_Conditioner_Air_Building4,7,9,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,7,10,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,7,11,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,7,12,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,7,13,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,7,14,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,7,15,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,7,16,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,7,17,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,7,18,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,7,19,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,7,20,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,7,21,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,7,22,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,7,23,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,7,24,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,8,1,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,8,2,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,8,3,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,8,4,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,8,5,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,8,6,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,8,7,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,8,8,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,8,9,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,8,10,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,8,11,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,8,12,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,8,13,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,8,14,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,8,15,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,8,16,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,8,17,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,8,18,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,8,19,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,8,20,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,8,21,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,8,22,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,8,23,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,8,24,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,9,1,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,9,2,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,9,3,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,9,4,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,9,5,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,9,6,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,9,7,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,9,8,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,9,9,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,9,10,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,9,11,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,9,12,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,9,13,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,9,14,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,9,15,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,9,16,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,9,17,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,9,18,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,9,19,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,9,20,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,9,21,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,9,22,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,9,23,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,9,24,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,10,1,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,10,2,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,10,3,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,10,4,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,10,5,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,10,6,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,10,7,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,10,8,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,10,9,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,10,10,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,10,11,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,10,12,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,10,13,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,10,14,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,10,15,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,10,16,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,10,17,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,10,18,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,10,19,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,10,20,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,10,21,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,10,22,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,10,23,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,10,24,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,11,1,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,12,1,0.0,0.0,0.0,
Electricity,Battery_Building4,1,1,0.0,0.0,0.0,0.0
Electricity,Battery_Building4,1,2,0.0,0.0,0.0,0.0
Electricity,Battery_Building4,1,3,0.0,0.0,0.0,0.0
Electricity,Battery_Building4,1,4,0.0,0.0,0.0,0.0
Electricity,Battery_Building4,1,5,0.0,0.0,0.0,0.0
Electricity,Battery_Building4,1,6,0.0,0.0,0.0,0.0
Electricity,Battery_Building4,1,7,0.0,0.0,0.0,0.0
Electricity,Battery_Building4,1,8,0.0,0.0,0.0,0.0
Electricity,Battery_Building4,1,9,0.0,0.0,0.0,0.0
Electricity,Battery_Building4,1,10,0.0,0.0,0.0,0.0
Electricity,Battery_Building4,1,11,0.0,0.0,0.0,0.0
Electricity,Battery_Building4,1,12,0.0,0.0,0.0,0.0
Electricity,Battery_Building4,1,13,0.0,0.0,0.0,0.0
Electricity,Battery_Building4,1,14,0.0,0.0,0.0,0.0
Electricity,Battery_Building4,1,15,0.0,0.0,0.0,0.0
Electricity,Battery_Building4,1,16,0.0,0.0,0.0,0.0
Electricity,Battery_Building4,1,17,0.0,0.0,0.0,0.0
Electricity,Battery_Building4,1,18,0.0,0.0,0.0,0.0
Electricity,Battery_Building4,1,19,0.0,0.0,0.0,0.0
Electricity,Battery_Building4,1,20,0.0,0.0,0.0,0.0
Electricity,Battery_Building4,1,21,0.0,0.0,0.0,0.0
Electricity,Battery_Building4,1,22,0.0,0.0,0.0,0.0
Electricity,Battery_Building4,1,23,0.0,0.0,0.0,0.0
Electricity,Battery_Building4,1,24,0.0,0.0,0.0,0.0
Electricity,Battery_Building4,2,1,0.0,0.0,0.0,0.0
Electricity,Battery_Building4,2,2,0.0,0.0,0.0,0.0
Electricity,Battery_Building4,2,3,0.0,0.0,0.0,0.0
Electricity,Battery_Building4,2,4,0.0,0.0,0.0,0.0
Electricity,Battery_Building4,2,5,0.0,0.0,0.0,0.0
Electricity,Battery_Building4,2,6,0.0,0.0,0.0,0.0
Electricity,Battery_Building4,2,7,0.0,0.0,0.0,0.0
Electricity,Battery_Building4,2,8,0.0,0.0,0.0,0.0
Electricity,Battery_Building4,2,9,0.0,0.0,0.0,0.0
Electricity,Battery_Building4,2,10,0.0,0.0,0.0,0.0
Electricity,Battery_Building4,2,11,0.0,0.0,0.0,0.0
Electricity,Battery_Building4,2,12,0.0,0.0,0.0,0.0
Electricity,Battery_Building4,2,13,0.0,0.0,0.0,0.0
Electricity,Battery_Building4,2,14,0.0,0.0,0.0,0.0
Electricity,Battery_Building4,2,15,0.0,0.0,0.0,0.0
Electricity,Battery_Building4,2,16,0.0,0.0,0.0,0.0
Electricity,Battery_Building4,2,17,0.0,0.0,0.0,0.0
Electricity,Battery_Building4,2,18,0.0,0.0,0.0,0.0
Electricity,Battery_Building4,2,19,0.0,0.0,0.0,0.0
Electricity,Battery_Building4,2,20,0.0,0.0,0.0,0.0
Electricity,Battery_Building4,2,21,0.0,0.0,0.0,0.0
Electricity,Battery_Building4,2,22,0.0,0.0,0.0,0.0
Electricity,Battery_Building4,2,23,0.0,0.0,0.0,0.0
Electricity,Battery_Building4,2,24,0.0,0.0,0.0,0.0
Electricity,Battery_Building4,3,1,0.0,0.0,0.0,0.0
Electricity,Battery_Building4,3,2,0.0,0.0,0.0,0.0
Electricity,Battery_Building4,3,3,0.0,0.0,0.0,0.0
Electricity,Battery_Building4,3,4,0.0,0.0,0.0,0.0
Electricity,Battery_Building4,3,5,0.0,0.0,0.0,0.0
Electricity,Battery_Building4,3,6,0.0,0.0,0.0,0.0
Electricity,Battery_Building4,3,7,0.0,0.0,0.0,0.0
Electricity,Battery_Building4,3,8,0.0,0.0,0.0,0.0
Electricity,Battery_Building4,3,9,0.0,0.0,0.0,0.0
Electricity,Battery_Building4,3,10,0.0,0.0,0.0,0.0
Electricity,Battery_Building4,3,11,0.0,0.0,0.0,0.0
Electricity,Battery_Building4,3,12,0.0,0.0,0.0,0.0
Electricity,Battery_Building4,3,13,0.0,0.0,0.0,0.0
Electricity,Battery_Building4,3,14,0.0,0.0,0.0,0.0
